name,team,primary_position,line,appearances,player_id,pca_x,pca_y,umap_x,umap_y
Wojciech Szczęsny,Poland,Goalkeeper,GK,6,5669,-5.415420834598253,-0.10361394395347438,9.954655,7.283789
Bartosz Bereszyński,Poland,Left Back,DEF,6,5673,-0.4314713077470266,-1.662738787150973,-4.486492,-0.8037798
Héctor Herrera,Mexico,Right Center Midfield,MID,6,5575,0.9166018740009824,0.318820978289555,-8.488717,0.74065346
Kylian Mbappé,France,Left Wing,FWD,12,3009,0.6874941563278427,-2.8633040611878986,-10.879097,3.4963298
Adrien Rabiot,France,Left Defensive Midfield,MID,5,3026,0.38974598662352594,0.5948224737953038,-8.683261,-0.11519167
Hugo Lloris,France,Goalkeeper,GK,12,3099,-7.106780319580192,-0.3657111616915499,10.387871,7.743537
Olivier Giroud,France,Center Forward,FWD,12,3604,-0.20561148205607094,-4.34049067510957,-10.103874,4.053843
Jules Koundé,France,Right Back,DEF,5,4445,0.1577045669143165,0.6077288904092033,-6.0295954,2.5411522
Ousmane Dembélé,France,Right Wing,FWD,8,5477,0.3749838889149128,-1.1032837915986171,-9.732523,1.7039908
Raphaël Varane,France,Right Center Back,DEF,13,5485,-0.6572373447734972,2.0598267053993977,-7.939984,-1.5646309
Antoine Griezmann,France,Center Attacking Midfield,MID,13,5487,2.099560630313506,-2.0312985969648185,-9.61445,2.8875585
Theo Hernández,France,Left Back,DEF,5,6704,0.0669607789219051,0.6750728697125911,-4.119973,-1.6045303
Dayotchanculle Upamecano,France,Left Center Back,DEF,5,8519,-0.5140532742385064,1.4456031713669524,-7.3612986,-2.0241268
Aurélien Tchouaméni,France,Right Defensive Midfield,MID,7,10481,1.122460040766086,1.7805654406953029,-9.10723,0.059212036
Ismaïla Sarr,Senegal,Right Wing,FWD,7,2941,0.8462270015465428,-3.2778773957305307,-9.908601,4.20224
Youssouf Sabaly,Senegal,Right Back,DEF,7,3404,0.849773497465768,0.34724881130526414,-5.841307,2.5140924
Idrissa Gueye,Senegal,Center Attacking Midfield,MID,6,3436,2.2060579394362687,0.5302072337710466,-8.795282,0.634905
Kalidou Koulibaly,Senegal,Right Center Back,DEF,7,5675,-0.9909068913035974,1.9704313821146522,-7.60238,-1.9884315
Jan Vertonghen,Belgium,Left Center Back,DEF,9,3077,-0.21731257232384837,1.569390288803385,-8.1518755,-3.0886912
Kevin De Bruyne,Belgium,Right Wing,FWD,9,3089,2.162409725507242,-1.2414925542109052,-8.994823,1.4915017
Thibaut Courtois,Belgium,Goalkeeper,GK,10,3509,-6.451471399689323,0.35938194999071693,10.376885,7.840531
Eden Hazard,Belgium,Left Wing,FWD,8,3621,2.104318508230525,-1.4971265715735915,-9.147931,1.7134999
Yannick Carrasco,Belgium,Left Wing Back,DEF,5,5633,-0.6786670015213212,-1.974939855164527,-4.317261,-0.7670041
Axel Witsel,Belgium,Left Defensive Midfield,MID,9,5642,0.6667025366417457,0.44495185489768213,-8.978624,0.7018925
Toby Alderweireld,Belgium,Right Center Back,DEF,9,20005,0.2654767124697818,2.787004464073725,-8.774087,-1.8626754
Yann Sommer,Switzerland,Goalkeeper,GK,7,5550,-4.895499896926802,1.0618363773981618,9.806338,7.909699
Bernardo Silva,Portugal,Right Center Midfield,MID,7,3193,2.703023165304073,0.866942044189373,-10.3827095,-0.16729848
Bruno Fernandes,Portugal,Right Wing,FWD,5,5204,2.5993399748306327,-0.25723838651973746,-10.57276,1.3906573
William Carvalho,Portugal,Left Center Midfield,MID,6,5214,1.9016731257769781,2.484316373879066,-10.347173,-1.1310148
Edinson Cavani,Uruguay,Right Center Forward,FWD,5,4319,0.3834413053689319,-3.663101857941148,-9.856739,3.807603
Diego Godín,Uruguay,Left Center Back,DEF,7,5249,-0.9766574417402638,1.4426543172737578,-7.210631,-1.4582145
Matías Vecino,Uruguay,Left Center Midfield,MID,7,5255,1.3095398336519284,0.15463660270350385,-8.22843,0.6139965
José Giménez,Uruguay,Right Center Back,DEF,7,5259,-1.3005588867319384,1.2051835611880577,-7.6185613,-1.6091402
Rodrigo Bentancur,Uruguay,Center Attacking Midfield,MID,8,5260,0.6205792360689186,0.4878798402759787,-8.307608,0.49998263
Raheem Sterling,England,Right Center Forward,FWD,8,3233,0.24095124230646808,-2.072449134677958,-10.470043,2.7375607
Kieran Trippier,England,Right Midfield,MID,8,3308,0.3202659194907436,-0.6905289341425406,-6.5800624,2.2600093
Morteza Pouraliganji,Iran,Right Center Back,DEF,6,5220,-3.1546548445587463,-0.44347743205549556,-7.038705,-0.94483936
Mehdi Taremi,Iran,Center Attacking Midfield,MID,5,5226,0.7764737817786174,-3.8365850650594995,-9.751334,4.0435
Alireza Beiranvand,Iran,Goalkeeper,GK,5,5227,-5.25981998348468,-4.098630764750116,9.875069,7.3311605
Majid Hosseini,Iran,Left Center Back,DEF,5,5228,-2.9677642276212386,-1.3466035387821147,-6.992022,-0.9400666
Ehsan Hajsafi,Iran,Left Back,DEF,6,5230,-0.43472081925014494,-2.042068884979582,-4.7064786,-0.86313504
