match_id,team,competition,date,coach,cluster,umap_x,umap_y,landmark
69255,Barcelona,LaLiga,2009-09-26 00:00:00,Guardiola,0,7.6284704,5.675888,
69256,Barcelona,LaLiga,2009-10-03 00:00:00,Guardiola,1,10.470939,0.66805834,
69252,Barcelona,LaLiga,2009-10-17 00:00:00,Guardiola,1,10.201844,2.7058353,
69253,Barcelona,LaLiga,2009-10-25 00:00:00,Guardiola,1,10.68727,0.31978738,
69277,Barcelona,LaLiga,2009-10-31 00:00:00,Guardiola,1,11.194767,2.6106513,
69250,Barcelona,LaLiga,2009-11-07 00:00:00,Guardiola,1,8.00449,2.7512178,
69288,Barcelona,LaLiga,2009-11-21 00:00:00,Guardiola,1,9.818208,4.6342535,
69262,Barcelona,LaLiga,2009-11-29 00:00:00,Guardiola,1,8.9953985,2.0551357,
69267,Barcelona,LaLiga,2009-12-02 00:00:00,Guardiola,1,9.1124525,3.3153713,
69218,Barcelona,LaLiga,2009-12-05 00:00:00,Guardiola,1,11.562495,2.5286005,
69219,Barcelona,LaLiga,2010-01-10 00:00:00,Guardiola,1,9.082496,4.024765,
69243,Barcelona,LaLiga,2010-01-16 00:00:00,Guardiola,1,8.755553,3.359451,
69210,Barcelona,LaLiga,2010-01-23 00:00:00,Guardiola,1,12.144319,3.4591548,
69220,Barcelona,LaLiga,2010-01-30 00:00:00,Guardiola,1,10.033129,1.4073404,
69240,Barcelona,LaLiga,2010-02-06 00:00:00,Guardiola,1,10.614436,3.0136664,
69237,Barcelona,LaLiga,2010-02-14 00:00:00,Guardiola,0,6.3993797,5.7071033,
69233,Barcelona,LaLiga,2010-02-20 00:00:00,Guardiola,1,10.860158,3.2431533,
69238,Barcelona,LaLiga,2010-02-27 00:00:00,Guardiola,0,8.397311,5.3070483,
69226,Barcelona,LaLiga,2010-03-06 00:00:00,Guardiola,1,11.606409,1.5614287,
69224,Barcelona,LaLiga,2010-03-14 00:00:00,Guardiola,0,8.3828,4.694077,
69227,Barcelona,LaLiga,2010-03-21 00:00:00,Guardiola,1,10.623679,4.8342376,
69257,Barcelona,LaLiga,2010-03-24 00:00:00,Guardiola,1,9.9415045,5.5701003,
69298,Barcelona,LaLiga,2010-03-27 00:00:00,Guardiola,1,10.050178,4.8314495,
69247,Barcelona,LaLiga,2010-04-03 00:00:00,Guardiola,1,9.05504,3.5447237,
69259,Barcelona,LaLiga,2010-04-10 00:00:00,Guardiola,1,10.641925,3.907095,
69221,Barcelona,LaLiga,2010-04-14 00:00:00,Guardiola,1,10.416606,1.0593195,
69213,Barcelona,LaLiga,2010-04-17 00:00:00,Guardiola,1,8.926866,3.702027,
69214,Barcelona,LaLiga,2010-04-24 00:00:00,Guardiola,1,8.281065,2.5232108,
69244,Barcelona,LaLiga,2010-05-01 00:00:00,Guardiola,1,10.228943,2.6149561,
69241,Barcelona,LaLiga,2010-05-04 00:00:00,Guardiola,1,8.841619,1.5754853,
69239,Barcelona,LaLiga,2010-05-08 00:00:00,Guardiola,0,7.199607,4.9125867,
69242,Barcelona,LaLiga,2010-05-16 00:00:00,Guardiola,1,10.244773,3.860692,
69286,Barcelona,LaLiga,2010-08-29 00:00:00,Guardiola,1,10.596079,3.170603,
69287,Barcelona,LaLiga,2010-09-11 00:00:00,Guardiola,1,8.739645,2.6006198,
69269,Barcelona,LaLiga,2010-09-19 00:00:00,Guardiola,1,10.287494,2.8009984,
69236,Barcelona,LaLiga,2010-10-03 00:00:00,Guardiola,1,9.232855,1.6811484,
69260,Barcelona,LaLiga,2010-10-16 00:00:00,Guardiola,1,9.967318,2.9546328,
69263,Barcelona,LaLiga,2010-10-23 00:00:00,Guardiola,1,10.93726,2.0631535,
69289,Barcelona,LaLiga,2010-10-30 00:00:00,Guardiola,1,11.005097,4.153375,
69270,Barcelona,LaLiga,2010-11-07 00:00:00,Guardiola,1,12.318688,2.3335106,
69308,Barcelona,LaLiga,2010-11-13 00:00:00,Guardiola,1,10.282105,1.5081184,
69306,Barcelona,LaLiga,2010-11-20 00:00:00,Guardiola,1,9.943686,1.7660075,
69299,Barcelona,LaLiga,2010-11-29 00:00:00,Guardiola,1,8.701372,2.4989345,"Clasico 5-0 (Pep, 2010)"
69307,Barcelona,LaLiga,2010-12-04 00:00:00,Guardiola,1,9.089823,3.188023,
69302,Barcelona,LaLiga,2010-12-12 00:00:00,Guardiola,1,10.443483,0.4108625,
69275,Barcelona,LaLiga,2010-12-18 00:00:00,Guardiola,1,10.026049,3.9702058,
69280,Barcelona,LaLiga,2011-01-08 00:00:00,Guardiola,1,10.621779,0.8497591,
69278,Barcelona,LaLiga,2011-01-16 00:00:00,Guardiola,1,8.829494,1.8331511,
69295,Barcelona,LaLiga,2011-01-22 00:00:00,Guardiola,1,11.448121,2.6202283,
69296,Barcelona,LaLiga,2011-01-29 00:00:00,Guardiola,1,10.691134,0.22984645,
69276,Barcelona,LaLiga,2011-02-05 00:00:00,Guardiola,1,9.367194,1.7626089,
69248,Barcelona,LaLiga,2011-02-12 00:00:00,Guardiola,1,10.891989,2.4905825,
69282,Barcelona,LaLiga,2011-02-20 00:00:00,Guardiola,1,10.797583,1.7159681,
69283,Barcelona,LaLiga,2011-02-26 00:00:00,Guardiola,1,10.936543,0.8349777,
69274,Barcelona,LaLiga,2011-03-02 00:00:00,Guardiola,1,9.752077,4.2674522,
69300,Barcelona,LaLiga,2011-03-05 00:00:00,Guardiola,1,10.834726,0.6572602,
69291,Barcelona,LaLiga,2011-03-13 00:00:00,Guardiola,0,6.892965,5.379611,
69303,Barcelona,LaLiga,2011-03-19 00:00:00,Guardiola,1,10.642646,0.8475057,
69304,Barcelona,LaLiga,2011-04-02 00:00:00,Guardiola,1,9.556039,1.3860527,
69305,Barcelona,LaLiga,2011-04-09 00:00:00,Guardiola,1,8.867276,4.1068954,
69245,Barcelona,LaLiga,2011-04-16 00:00:00,Guardiola,1,10.530712,1.1028469,
69271,Barcelona,LaLiga,2011-04-23 00:00:00,Guardiola,1,10.8716755,5.286865,
69246,Barcelona,LaLiga,2011-04-30 00:00:00,Guardiola,0,6.875523,5.385666,
69234,Barcelona,LaLiga,2011-05-08 00:00:00,Guardiola,1,10.486276,1.6871326,
69272,Barcelona,LaLiga,2011-05-11 00:00:00,Guardiola,1,10.477381,0.16018899,
69268,Barcelona,LaLiga,2011-08-29 00:00:00,Guardiola,1,11.32956,2.8625534,
69264,Barcelona,LaLiga,2011-09-10 00:00:00,Guardiola,1,8.771135,2.523021,
70220,Barcelona,LaLiga,2011-09-17 00:00:00,Guardiola,1,9.552428,1.1050909,
70223,Barcelona,LaLiga,2011-09-21 00:00:00,Guardiola,1,9.867913,3.6858525,
69297,Barcelona,LaLiga,2011-09-24 00:00:00,Guardiola,1,11.025489,1.2286364,
69265,Barcelona,LaLiga,2011-10-02 00:00:00,Guardiola,1,11.152539,0.7236478,
69293,Barcelona,LaLiga,2011-10-15 00:00:00,Guardiola,0,7.2832103,6.533764,
69329,Barcelona,LaLiga,2011-10-22 00:00:00,Guardiola,1,10.831015,0.50695,
69318,Barcelona,LaLiga,2011-10-25 00:00:00,Guardiola,1,11.229148,1.4676483,
69314,Barcelona,LaLiga,2011-10-29 00:00:00,Guardiola,1,9.240631,1.1800003,
69330,Barcelona,LaLiga,2011-11-06 00:00:00,Guardiola,1,11.451162,3.0238614,
69331,Barcelona,LaLiga,2011-11-19 00:00:00,Guardiola,1,9.442866,2.9575012,
69315,Barcelona,LaLiga,2011-11-26 00:00:00,Guardiola,1,11.069703,2.369491,
69332,Barcelona,LaLiga,2011-11-29 00:00:00,Guardiola,1,9.967338,5.277386,
69333,Barcelona,LaLiga,2011-12-03 00:00:00,Guardiola,1,8.979172,3.6336093,
69334,Barcelona,LaLiga,2011-12-10 00:00:00,Guardiola,1,10.85241,3.083186,
69312,Barcelona,LaLiga,2012-01-08 00:00:00,Guardiola,1,9.407309,2.0283682,
69327,Barcelona,LaLiga,2012-01-15 00:00:00,Guardiola,1,11.050257,3.0214546,
69335,Barcelona,LaLiga,2012-01-22 00:00:00,Guardiola,1,12.30934,1.766825,
69338,Barcelona,LaLiga,2012-01-28 00:00:00,Guardiola,1,12.587679,3.584839,
